accession_num,NIH.ID,date,year,lat,long,DENV.serotype,DENV.subtype,country
GU131888,NA,contact authors for access,2006,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
GU131892,NA,contact authors for access,2006,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
GQ868630,NA,contact authors for access,2006,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
GQ868639,NA,contact authors for access,2006,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ744702,NA,contact authors for access,2006,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639686,NA,contact authors for access,2006,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639687,NA,contact authors for access,2006,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
KF921933,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
JQ287665,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HQ624983,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HQ624984,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM488255,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM631853,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM181943,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM181945,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM181946,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM181948,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM181949,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM181952,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM181954,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM181956,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM181957,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM181958,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM181959,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639688,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639689,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639690,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639691,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639692,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639693,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639694,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639695,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639696,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
JF937651,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
GU131894,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
GU131921,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
GQ868632,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
GQ868633,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
GQ868635,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
GQ868636,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639698,NA,contact authors for access,2002,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
FJ639699,NA,contact authors for access,2002,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
FJ639700,NA,contact authors for access,2002,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
FJ639701,NA,contact authors for access,2002,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
GQ868620,NA,contact authors for access,2003,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
GQ868621,NA,contact authors for access,2003,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
GQ868622,NA,contact authors for access,2003,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
FJ639702,NA,contact authors for access,2003,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
FJ639703,NA,contact authors for access,2003,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
FJ639704,NA,contact authors for access,2003,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
FJ639705,NA,contact authors for access,2003,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
FJ639706,NA,contact authors for access,2004,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
FJ639707,NA,contact authors for access,2004,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
GQ868623,NA,contact authors for access,2005,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
FJ639708,NA,contact authors for access,2005,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
FJ639709,NA,contact authors for access,2005,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
FJ639710,NA,contact authors for access,2005,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
FJ639711,NA,contact authors for access,2005,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
JN368476,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
GU131927,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
GQ868624,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
FJ639717,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
KF955401,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
KF955402,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
GU131898,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
GU131899,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
GU131900,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
GU131901,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
GU131902,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
GU131924,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
GU131929,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
GU131930,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
GU131931,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
GU131932,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
GQ868625,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
GQ868631,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
GQ868638,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
FJ639718,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-2,DENV-2,Cambodia
OL411497,109-0245,contact authors for access,2020,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OL412678,109-0011,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OL412703,109-0060,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OL411498,109-0067,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OL411499,100-0610,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OL411496,100-0642,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OL412140,100-0622,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OL411495,109-0316,contact authors for access,2020,contact authors for access,contact authors for access,DENV-1,DENV-1-clade-2,Cambodia
OK159961,109-0230,contact authors for access,2020,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159960,109-0236,contact authors for access,2020,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159959,109-0002,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159958,109-0007,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159976,109-0014,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159975,109-0022,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159957,109-0030,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1-clade-2,Cambodia
OK159956,109-0032,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159974,109-0034,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159955,109-0042,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159954,109-0048,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159953,109-0050,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159952,109-0052,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159973,109-0055,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159951,109-0056,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159950,109-0057,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159949,109-0068,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159948,109-0073,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159946,109-0078,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1-clade-2,Cambodia
OK159972,109-0080,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159971,109-0081,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159970,109-0085,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159969,100-0154,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159968,100-0222,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1-clade-2,Cambodia
OK159945,100-0418,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159967,100-0422,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159944,100-0479,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159943,100-0562,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159966,100-0599,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159942,100-0608,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159941,100-0618,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159940,100-0658,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159965,100-0661,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159939,100-0682,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159964,100-0692,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159938,100-0702,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159963,100-0734,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159937,100-0632,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159936,100-0052,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159962,100-0623,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159935,100-0752,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OK159947,109-0074,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OL414746,109-0292,contact authors for access,2020,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414736,109-0294,contact authors for access,2020,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414735,109-0295,contact authors for access,2020,contact authors for access,contact authors for access,DENV-2,Asian-1,Cambodia
OL414734,109-0298,contact authors for access,2020,contact authors for access,contact authors for access,DENV-2,Asian-1,Cambodia
OL414733,109-0350,contact authors for access,2020,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414732,109-0376,contact authors for access,2020,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414731,109-0389,contact authors for access,2020,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414730,109-0003,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414745,109-0045,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414727,109-0049,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414726,109-0053,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414725,109-0059,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414724,109-0086,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414723,109-0087,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414722,109-0093,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414744,100-0039,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Asian-1,Cambodia
OL414721,100-0067,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Asian-1,Cambodia
OL414720,100-0068,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Asian-1,Cambodia
OL414743,100-0072,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Asian-1,Cambodia
OL414719,100-0156,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Asian-1,Cambodia
OL414718,100-0160,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414742,100-0153,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414741,100-0277,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414740,100-0405,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414717,100-0430,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414739,100-0427,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414738,100-0428,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414737,100-0477,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414747,100-0034,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414728,109-0023,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Asian-1,Cambodia
OL414729,109-0019,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Asian-1,Cambodia
OL414749,109-0293,contact authors for access,2020,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414750,109-0304,contact authors for access,2020,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414751,109-0318,contact authors for access,2020,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414752,109-0334,contact authors for access,2020,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414765,109-0349,contact authors for access,2020,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414753,109-0352,contact authors for access,2020,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414754,109-0353,contact authors for access,2020,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL435143,109-0358,contact authors for access,2020,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414755,109-0363,contact authors for access,2020,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414764,109-0372,contact authors for access,2020,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414756,109-0377,contact authors for access,2020,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414757,109-0384,contact authors for access,2020,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414758,109-0408,contact authors for access,2020,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414762,109-0001,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL420733,109-0008,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414761,109-0020,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Asian-1,Cambodia
OL414763,109-0039,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414759,100-0432,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL412740,100-0670,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
OL414760,100-0215,contact authors for access,2019,contact authors for access,contact authors for access,DENV-2,Cosmopolitan,Cambodia
FJ639669,NA,contact authors for access,2000,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639670,NA,contact authors for access,2001,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639671,NA,contact authors for access,2001,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639672,NA,contact authors for access,2001,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639673,NA,contact authors for access,2001,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639697,NA,contact authors for access,2001,contact authors for access,contact authors for access,DENV-2,Asian-1,Cambodia
GQ868637,NA,contact authors for access,2000,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
GU131887,NA,contact authors for access,2006,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
GU131889,NA,contact authors for access,2006,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
GU131890,NA,contact authors for access,2006,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
GU131891,NA,contact authors for access,2006,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
GU131893,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
GU131895,NA,contact authors for access,2009,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
GU131896,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-2,Asian-1,Cambodia
GU131897,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-2,Asian-1,Cambodia
GU131919,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
GU131920,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
GU131922,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
GU131925,NA,contact authors for access,2006,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
GU131926,NA,contact authors for access,2006,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
GU131928,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-2,Asian-1,Cambodia
HM181936,NA,contact authors for access,2006,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM181937,NA,contact authors for access,2006,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM181938,NA,contact authors for access,2006,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM181940,NA,contact authors for access,2006,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM181942,NA,contact authors for access,2006,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM181944,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM181947,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM181950,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM181951,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM181953,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM181955,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
JF730044,NA,contact authors for access,2001,contact authors for access,contact authors for access,DENV-2,Asian-1,Cambodia
JF730045,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-2,Asian-1,Cambodia
JF730046,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-2,Asian-1,Cambodia
JF730047,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-2,Asian-1,Cambodia
JF730048,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-2,Asian-1,Cambodia
JN819423,NA,contact authors for access,2001,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
KF921930,NA,contact authors for access,2002,contact authors for access,contact authors for access,DENV-2,Asian-1,Cambodia
KF921931,NA,contact authors for access,2003,contact authors for access,contact authors for access,DENV-2,Asian-1,Cambodia
KF921932,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
KF955406,NA,contact authors for access,2001,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
KF955444,NA,contact authors for access,2007,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
KU509260,NA,contact authors for access,2008,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
MW265664,NA,contact authors for access,2016,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
MW265665,NA,contact authors for access,2016,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
MW265666,NA,contact authors for access,2016,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
MW265667,NA,contact authors for access,2016,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
MW265668,NA,contact authors for access,2011,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
MW265669,NA,contact authors for access,2011,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
MW265670,NA,contact authors for access,2012,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
MW265671,NA,contact authors for access,2012,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
MW265672,NA,contact authors for access,2013,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
MW265673,NA,contact authors for access,2014,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
MW265674,NA,contact authors for access,2014,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
MW265675,NA,contact authors for access,2014,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
MW265676,NA,contact authors for access,2014,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
MW265677,NA,contact authors for access,2015,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
MW265678,NA,contact authors for access,2015,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
MW265679,NA,contact authors for access,2015,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
OM033409,109-0129,contact authors for access,2019,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
