"provname","year","biweek","time","cases","births","pop","precip_mm","temp_C"
"Prey Veng",2002,6,2002.19230769231,2,904.972269789693,880503.853604265,5.68612890876,31.27839145
"Prey Veng",2002,7,2002.23076923077,3,905.147370640064,881137.032760278,10.6455616904,31.8196396714286
"Prey Veng",2002,8,2002.26923076923,2,905.322471490435,881770.211916291,28.0237,31.0972434714286
"Prey Veng",2002,9,2002.30769230769,5,905.497572340806,882403.391072304,24.032,32.2564646714286
"Prey Veng",2002,10,2002.34615384615,8,905.672673191177,883036.570228317,30.0808,31.1480392071429
"Prey Veng",2002,11,2002.38461538462,13,905.847774041548,883669.74938433,69.7126,30.2679279142857
"Prey Veng",2002,12,2002.42307692308,9,906.022874891919,884302.928540343,66.8937,29.77394345
"Prey Veng",2002,13,2002.46153846154,21,906.19797574229,884936.107696356,97.4061,28.43281835
"Prey Veng",2002,14,2002.5,26,906.373076592661,885569.286852369,28.1551,29.9405667357143
"Prey Veng",2002,15,2002.53846153846,48,906.548177443032,886202.466008382,44.0434,29.9553030071429
"Prey Veng",2002,16,2002.57692307692,41,906.723278293403,886835.645164395,69.1742,29.1005933928571
"Prey Veng",2002,17,2002.61538461538,33,906.898379143774,887468.824320408,108.5761,27.1699138285715
"Prey Veng",2002,18,2002.65384615385,32,907.073479994145,888102.003476421,126.1265,28.4317286142857
"Prey Veng",2002,19,2002.69230769231,46,907.248580844516,888735.182632434,120.4854,27.5759004
"Prey Veng",2002,20,2002.73076923077,18,907.423681694887,889368.361788447,123.4316,28.2545369785714
"Prey Veng",2002,21,2002.76923076923,25,907.598782545258,890001.54094446,39.106866863,28.4520587071429
"Prey Veng",2002,22,2002.80769230769,30,907.773883395629,890634.720100473,97.4016,27.78291685
"Prey Veng",2002,23,2002.84615384615,4,907.948984246,891267.899256486,55.7738,27.7678424928571
"Prey Veng",2002,24,2002.88461538462,13,908.124085096371,891901.078412499,43.732,27.6404350357143
"Prey Veng",2002,25,2002.92307692308,5,908.299185946742,892534.257568512,12.09437737427,28.0904062071428
"Prey Veng",2002,26,2002.96153846154,4,908.474286797113,893167.436724524,11.79159282902,28.6993344266667
"Prey Veng",2003,1,2003,3,908.649387647484,893798.628199395,0.0352291720181,27.6136779928572
"Prey Veng",2003,2,2003.03846153846,2,908.824488497855,894394.041413703,0.146492545104,28.2977096642857
"Prey Veng",2003,3,2003.07692307692,2,909.087857879177,894989.45462801,0.6335994811662,28.5496610857143
"Prey Veng",2003,4,2003.11538461538,2,909.40739814383,895584.867842318,0.288582800048,30.07608235
"Prey Veng",2003,5,2003.15384615385,2,909.726938408483,896180.281056625,13.88581826854,30.7908364928572
"Prey Veng",2003,6,2003.19230769231,5,910.046478673137,896775.694270933,30.7689113128,30.5425222071429
"Prey Veng",2003,7,2003.23076923077,4,910.36601893779,897371.10748524,17.5987,31.3624069571429
"Prey Veng",2003,8,2003.26923076923,3,910.685559202443,897966.520699548,12.2968663399,32.4809894571429
"Prey Veng",2003,9,2003.30769230769,9,911.005099467096,898561.933913855,45.8426,31.3232031714286
"Prey Veng",2003,10,2003.34615384615,3,911.32463973175,899157.347128163,95.3986,29.3013413
"Prey Veng",2003,11,2003.38461538462,23,911.644179996403,899752.76034247,131.849,28.8668399071429
"Prey Veng",2003,12,2003.42307692308,19,911.963720261056,900348.173556778,18.4147,30.6727688357143
"Prey Veng",2003,13,2003.46153846154,32,912.283260525709,900943.586771085,117.5096,28.7716728785715
"Prey Veng",2003,14,2003.5,25,912.602800790363,901538.999985393,92.5449,28.31260475
"Prey Veng",2003,15,2003.53846153846,32,912.922341055016,902134.4131997,138.027,27.9397715642858
"Prey Veng",2003,16,2003.57692307692,31,913.241881319669,902729.826414008,94.4885,28.6395218500001
"Prey Veng",2003,17,2003.61538461538,35,913.561421584323,903325.239628315,82.229,28.0177609357143
"Prey Veng",2003,18,2003.65384615385,18,913.880961848976,903920.652842623,118.4913,28.1389935
"Prey Veng",2003,19,2003.69230769231,15,914.200502113629,904516.06605693,124.862,27.5553955642857
"Prey Veng",2003,20,2003.73076923077,5,914.520042378283,905111.479271238,181.6837,27.7369012785715
"Prey Veng",2003,21,2003.76923076923,11,914.839582642936,905706.892485545,185.3427,27.24303515
"Prey Veng",2003,22,2003.80769230769,4,915.159122907589,906302.305699853,40.8015342424,27.3242751
"Prey Veng",2003,23,2003.84615384615,8,915.478663172242,906897.71891416,40.649786940341,27.5426302
"Prey Veng",2003,24,2003.88461538462,7,915.798203436896,907493.132128468,2.1713625761992,28.0409747071429
"Prey Veng",2003,25,2003.92307692308,4,916.117743701549,908088.545342775,3.795386320389,27.3575475357143
"Prey Veng",2003,26,2003.96153846154,2,916.437283966202,908683.958557083,2.0709825344439,26.4748406733333
"Prey Veng",2004,1,2004,4,916.756824230856,909277.034065566,2.3707072310695,28.3253065500001
"Prey Veng",2004,2,2004.03846153846,4,917.076364495509,909850.239074546,2.0532118367471,27.5379785642857
"Prey Veng",2004,3,2004.07692307692,3,917.395904760162,910423.444083526,1.0713559066899,28.4128776571429
"Prey Veng",2004,4,2004.11538461538,7,917.73912235751,910996.649092507,0.3381899701731,27.2000952928572
"Prey Veng",2004,5,2004.15384615385,4,918.165210619289,911569.854101487,4.4192673166,29.3467341071429
"Prey Veng",2004,6,2004.19230769231,4,918.591298881069,912143.059110467,4.810574057323,30.3462313071429
"Prey Veng",2004,7,2004.23076923077,4,919.017387142848,912716.264119447,11.7452254134,31.3490820357143
"Prey Veng",2004,8,2004.26923076923,3,919.443475404627,913289.469128427,26.5255,31.6236069357143
"Prey Veng",2004,9,2004.30769230769,7,919.869563666407,913862.674137407,61.7269,31.0665509214286
"Prey Veng",2004,10,2004.34615384615,20,920.295651928186,914435.879146387,68.0219,29.8531427
"Prey Veng",2004,11,2004.38461538462,58,920.721740189965,915009.084155368,72.3699,29.9036241571429
"Prey Veng",2004,12,2004.42307692308,64,921.147828451744,915582.289164348,161.6743,27.4354061357143
"Prey Veng",2004,13,2004.46153846154,89,921.573916713524,916155.494173328,29.0401,29.2055724357143
"Prey Veng",2004,14,2004.5,131,922.000004975303,916728.699182308,67.5186,28.8460171928572
"Prey Veng",2004,15,2004.53846153846,114,922.426093237082,917301.904191288,91.5733,27.8894819428572
"Prey Veng",2004,16,2004.57692307692,82,922.852181498861,917875.109200268,116.0868,27.2571416
"Prey Veng",2004,17,2004.61538461538,78,923.278269760641,918448.314209248,76.3302,28.3627771500001
"Prey Veng",2004,18,2004.65384615385,59,923.70435802242,919021.519218228,66.8716,28.4242856071429
"Prey Veng",2004,19,2004.69230769231,56,924.130446284199,919594.724227209,136.2837,27.6485691928572
"Prey Veng",2004,20,2004.73076923077,46,924.556534545978,920167.929236189,135.6741,27.5509077571429
"Prey Veng",2004,21,2004.76923076923,26,924.982622807758,920741.134245169,30.7984,27.5622261857143
"Prey Veng",2004,22,2004.80769230769,14,925.408711069537,921314.339254149,5.50633037361,28.1643622
"Prey Veng",2004,23,2004.84615384615,7,925.834799331316,921887.544263129,13.7992,28.7592787142858
"Prey Veng",2004,24,2004.88461538462,7,926.260887593095,922460.749272109,28.8202775571107,27.99391985
"Prey Veng",2004,25,2004.92307692308,4,926.686975854875,923033.954281089,0.1521423284681,27.4329181428571
"Prey Veng",2004,26,2004.96153846154,5,927.113064116654,923607.159290069,0.0489710588567,25.9726279
"Prey Veng",2005,1,2005,2,927.539152378433,924178.890752521,1.5749340159182,25.8258245
"Prey Veng",2005,2,2005.03846153846,2,927.965240640212,924742.763300156,0.666879625488,26.7721100357143
"Prey Veng",2005,3,2005.07692307692,2,928.391328901992,925306.635847791,0.146992514989,28.0304114
"Prey Veng",2005,4,2005.11538461538,2,928.817417163771,925870.508395426,0.262321775775,29.2249973142858
"Prey Veng",2005,5,2005.15384615385,2,929.24350542555,926434.380943061,2.6892001602147,28.5027852785714
"Prey Veng",2005,6,2005.19230769231,3,929.711667692648,926998.253490696,9.036427057563,30.2886578928572
"Prey Veng",2005,7,2005.23076923077,2,930.188244760811,927562.126038331,3.804414215,31.5657649785715
"Prey Veng",2005,8,2005.26923076923,2,930.664821828973,928125.998585965,5.9591,31.7227811857143
"Prey Veng",2005,9,2005.30769230769,2,931.141398897135,928689.8711336,32.73551690867,31.6073436857143
"Prey Veng",2005,10,2005.34615384615,5,931.617975965297,929253.743681235,90.9216,29.2869533785715
"Prey Veng",2005,11,2005.38461538462,12,932.09455303346,929817.61622887,68.3526,29.4682022642858
"Prey Veng",2005,12,2005.42307692308,26,932.571130101622,930381.488776505,66.0954,29.5114731571429
"Prey Veng",2005,13,2005.46153846154,25,933.047707169784,930945.36132414,74.1425,28.7716859928572
"Prey Veng",2005,14,2005.5,14,933.524284237946,931509.233871775,106.5086,27.7131146
"Prey Veng",2005,15,2005.53846153846,11,934.000861306108,932073.10641941,74.1688,28.2255399714286
"Prey Veng",2005,16,2005.57692307692,16,934.47743837427,932636.978967045,75.2881,28.0189133
"Prey Veng",2005,17,2005.61538461538,21,934.954015442433,933200.851514679,74.1419,28.3991868857143
"Prey Veng",2005,18,2005.65384615385,24,935.430592510595,933764.724062314,113.9963,28.0059164857143
"Prey Veng",2005,19,2005.69230769231,16,935.907169578757,934328.596609949,72.1888,27.7534559428572
