"provname","year","biwk","precip_m","precip_mm"
"Kratie",2002,16,0.1301451,130.1451
"Kratie",2002,17,0.1721041,172.1041
"Kratie",2002,18,0.1893103,189.3103
"Kratie",2002,19,0.251862,251.862
"Kratie",2002,20,0.0978321,97.8321
"Kratie",2002,21,0.0434376260546,43.4376260546
"Kratie",2002,22,0.0840864,84.0864
"Kratie",2002,23,0.0397699,39.7699
"Kratie",2002,24,0.0313478948328,31.3478948328
"Kratie",2002,25,0.0054997075917,5.4997075917
"Kratie",2002,26,0.00502358352445,5.02358352445
"Mondul Kiri",2002,1,1.1476682858e-05,0.011476682858
"Mondul Kiri",2002,2,1.689981280405e-05,0.01689981280405
"Mondul Kiri",2002,3,5.30077101987e-06,0.00530077101987
"Mondul Kiri",2002,4,0.0001060988986773,0.1060988986773
"Mondul Kiri",2002,5,2.0510893631e-06,0.0020510893631
"Mondul Kiri",2002,6,0.0132062137219044,13.2062137219044
"Mondul Kiri",2002,7,0.0210071188703657,21.0071188703657
"Mondul Kiri",2002,8,0.0320158534953,32.0158534953
"Mondul Kiri",2002,9,0.0341695,34.1695
"Mondul Kiri",2002,10,0.0441307,44.1307
"Mondul Kiri",2002,11,0.0870449,87.0449
"Mondul Kiri",2002,12,0.0973795,97.3795
"Mondul Kiri",2002,13,0.1633571,163.3571
"Mondul Kiri",2002,14,0.0940418,94.0418
"Mondul Kiri",2002,15,0.079463,79.463
"Mondul Kiri",2002,16,0.1403778,140.3778
"Mondul Kiri",2002,17,0.203243,203.243
"Mondul Kiri",2002,18,0.156703,156.703
"Mondul Kiri",2002,19,0.2158299,215.8299
"Mondul Kiri",2002,20,0.0919105,91.9105
"Mondul Kiri",2002,21,0.0509349,50.9349
"Mondul Kiri",2002,22,0.0597225,59.7225
"Mondul Kiri",2002,23,0.0348028,34.8028
"Mondul Kiri",2002,24,0.0262440555009,26.2440555009
"Mondul Kiri",2002,25,0.0038309147439,3.8309147439
"Mondul Kiri",2002,26,0.0069770891486587,6.9770891486587
"Otdar Meanchey",2002,1,2.7235143391e-06,0.0027235143391
"Otdar Meanchey",2002,2,0.00080082235174157,0.80082235174157
"Otdar Meanchey",2002,3,0.00047573037740257,0.47573037740257
"Otdar Meanchey",2002,4,0.00019944045099,0.19944045099
"Otdar Meanchey",2002,5,0.0183217683895,18.3217683895
"Otdar Meanchey",2002,6,0.01043099594993,10.43099594993
