"variable","lag","epiyr","provname"
"temp_C",-8,2007,"Siem Reap"
"precip_mm",-3,2012,"Siem Reap"
"temp_C",-7,2012,"Siem Reap"
"precip_mm",-18,2019,"Siem Reap"
"temp_C",-3,2019,"Siem Reap"
"precip_mm",-18,2007,"Stung Treng"
"temp_C",-3,2007,"Stung Treng"
"precip_mm",-17,2012,"Stung Treng"
"temp_C",-9,2012,"Stung Treng"
"precip_mm",-1,2019,"Stung Treng"
"temp_C",-8,2019,"Stung Treng"
"precip_mm",-1,2007,"Svay Rieng"
"temp_C",-8,2007,"Svay Rieng"
"precip_mm",-1,2012,"Svay Rieng"
"temp_C",-11,2012,"Svay Rieng"
"precip_mm",-3,2019,"Svay Rieng"
"temp_C",-9,2019,"Svay Rieng"
"precip_mm",-2,2007,"Takeo"
"temp_C",-6,2007,"Takeo"
"precip_mm",-15,2012,"Takeo"
"temp_C",-1,2012,"Takeo"
"precip_mm",-2,2019,"Takeo"
"temp_C",-11,2019,"Takeo"
